Date,Open,High,Low,Close,Adj Close,Volume
2021-05-28,5.010000,5.100000,5.000000,5.080000,4.870804,19988600
2021-06-01,5.170000,5.240000,5.140000,5.230000,5.014627,18660700
2021-06-02,5.210000,5.500000,5.190000,5.480000,5.254331,40541500
2021-06-03,5.400000,5.480000,5.380000,5.410000,5.191003,14707000
2021-06-04,5.460000,5.590000,5.440000,5.550000,5.325337,23373500
2021-06-07,5.520000,5.700000,5.460000,5.600000,5.373312,30863000
2021-06-08,5.520000,5.670000,5.500000,5.610000,5.382908,29076500
2021-06-09,5.540000,5.660000,5.470000,5.480000,5.258169,33402100
2021-06-10,5.570000,5.600000,5.480000,5.500000,5.277359,23658300
2021-06-11,5.470000,5.500000,5.360000,5.440000,5.219790,29378300
2021-06-14,5.490000,5.550000,5.410000,5.490000,5.267764,22055300
2021-06-15,5.490000,5.540000,5.420000,5.530000,5.306146,18628000
2021-06-16,5.510000,5.670000,5.450000,5.550000,5.325337,40572100
2021-06-17,5.640000,5.680000,5.500000,5.530000,5.306146,29118500
2021-06-18,5.520000,5.550000,5.360000,5.390000,5.171813,24330000
2021-06-21,5.430000,5.480000,5.400000,5.470000,5.248575,14514800
2021-06-22,5.420000,5.460000,5.370000,5.430000,5.210194,28343600
2021-06-23,5.430000,5.550000,5.380000,5.430000,5.210194,24931700
2021-06-24,5.470000,5.520000,5.410000,5.510000,5.286956,22257700
2021-06-25,5.490000,5.500000,5.260000,5.300000,5.085456,19734600
2021-06-28,5.310000,5.320000,5.190000,5.280000,5.066266,27255400
2021-06-29,5.270000,5.300000,5.160000,5.230000,5.018290,20818200
2021-06-30,5.130000,5.220000,5.110000,5.130000,4.922338,25997100
2021-07-01,5.150000,5.170000,4.960000,5.000000,4.797601,25355700
2021-07-02,5.000000,5.010000,4.870000,5.000000,4.907529,24332000
2021-07-06,4.790000,4.840000,4.680000,4.680000,4.593447,21706500
2021-07-07,4.720000,4.760000,4.620000,4.690000,4.603263,23654200
2021-07-08,4.620000,4.690000,4.550000,4.630000,4.544372,32180700
2021-07-09,4.700000,4.740000,4.660000,4.690000,4.603263,11237000
2021-07-12,4.700000,4.850000,4.680000,4.820000,4.730858,23214500
2021-07-13,4.780000,4.870000,4.750000,4.820000,4.730858,22504500
2021-07-14,5.030000,5.070000,4.870000,4.910000,4.819193,34149500
2021-07-15,4.890000,4.940000,4.760000,4.820000,4.730858,24496100
2021-07-16,4.840000,4.860000,4.720000,4.730000,4.642523,25350700
2021-07-19,4.640000,4.650000,4.510000,4.540000,4.456036,27865000
2021-07-20,4.500000,4.640000,4.470000,4.600000,4.514927,27347900
2021-07-21,4.600000,4.680000,4.590000,4.640000,4.554187,24581600
2021-07-22,4.640000,4.650000,4.570000,4.580000,4.495297,22296500
2021-07-23,4.630000,4.660000,4.520000,4.570000,4.485482,19107800
2021-07-26,4.580000,4.670000,4.570000,4.640000,4.554187,17833300
2021-07-27,4.610000,4.690000,4.570000,4.670000,4.583632,20605400
2021-07-28,4.730000,4.870000,4.730000,4.830000,4.740673,27203500
2021-07-29,4.880000,4.900000,4.780000,4.830000,4.740673,16369100
2021-07-30,4.800000,4.880000,4.630000,4.670000,4.583632,28338800
2021-08-02,4.790000,4.870000,4.690000,4.710000,4.622892,27693900
2021-08-03,4.650000,4.730000,4.540000,4.700000,4.616998,37567300
2021-08-04,4.560000,4.630000,4.470000,4.510000,4.430354,45819900
2021-08-05,4.570000,4.640000,4.410000,4.480000,4.400883,42524500
2021-08-06,4.490000,4.560000,4.410000,4.550000,4.469647,26276000
2021-08-09,4.550000,4.600000,4.500000,4.510000,4.430354,21895900
2021-08-10,4.490000,4.560000,4.470000,4.500000,4.420530,22702500
2021-08-11,4.490000,4.590000,4.440000,4.510000,4.430354,22168000
2021-08-12,4.490000,4.510000,4.400000,4.430000,4.351766,25126700
2021-08-13,4.420000,4.470000,4.350000,4.470000,4.391059,19537800
2021-08-16,4.460000,4.470000,4.350000,4.360000,4.283002,17581000
2021-08-17,4.310000,4.430000,4.290000,4.350000,4.273179,26145600
2021-08-18,4.340000,4.410000,4.240000,4.250000,4.174945,41707000
2021-08-19,4.240000,4.260000,4.120000,4.230000,4.155299,42581000
2021-08-20,4.130000,4.230000,4.130000,4.230000,4.155299,29167500
2021-08-23,4.240000,4.270000,4.190000,4.240000,4.165122,23991300
2021-08-24,4.290000,4.500000,4.290000,4.480000,4.400883,27288700
2021-08-25,4.420000,4.510000,4.390000,4.500000,4.420530,16796700
2021-08-26,4.450000,4.470000,4.370000,4.370000,4.292825,15260100
2021-08-27,4.380000,4.500000,4.360000,4.500000,4.420530,17306900
2021-08-30,4.470000,4.500000,4.410000,4.440000,4.361589,17123000
2021-08-31,4.480000,4.580000,4.440000,4.480000,4.400883,28104000
2021-09-01,4.500000,4.570000,4.450000,4.480000,4.400883,17353500
2021-09-02,4.390000,4.440000,4.290000,4.320000,4.247501,28041900
2021-09-03,4.310000,4.340000,4.240000,4.270000,4.198340,31442600
2021-09-07,4.280000,4.360000,4.230000,4.280000,4.208172,14249300
2021-09-08,4.200000,4.230000,3.960000,3.960000,3.893543,41420200
2021-09-09,3.990000,4.100000,3.900000,4.020000,3.952536,58980100
2021-09-10,4.090000,4.120000,3.980000,4.000000,3.932872,41590400
2021-09-13,4.070000,4.150000,4.040000,4.110000,4.041026,26845400
2021-09-14,4.100000,4.130000,4.020000,4.060000,3.991865,31939400
2021-09-15,4.020000,4.050000,3.990000,4.010000,3.942704,19406400
2021-09-16,3.980000,3.980000,3.900000,3.940000,3.873879,25476700
2021-09-17,3.890000,3.900000,3.770000,3.790000,3.726396,36257800
2021-09-20,3.730000,3.740000,3.570000,3.610000,3.549416,35655900
2021-09-21,3.630000,3.760000,3.620000,3.710000,3.647739,40837700
2021-09-22,3.750000,3.820000,3.730000,3.770000,3.706732,33231900
